Partie	NOM	partie
1	NUM	@card@
--	PUN	--
Le	DET:ART	le
Lotus	NAM	Lotus
En	NAM	En
ce	PRO:DEM	ce
temps	NOM	temps
-là	ADV	là
,	PUN	,
le	DET:ART	le
désert	NOM	désert
était	VER:impf	être
peuplé	VER:pper	peupler
d'	PRP	de
anachorètes	NOM	anachorète
.	SENT	.
Sur	PRP	sur
les	DET:ART	le
deux	NUM	deux
rives	NOM	rive
du	PRP:det	du
Nil	NAM	Nil
,	PUN	,
d'	PRP	de
innombrables	ADJ	innombrable
cabanes	NOM	cabane
,	PUN	,
bâties	VER:pper	bâtir
de	PRP	de
branchages	NOM	branchage
et	KON	et
d'	PRP	de
argile	NOM	argile
par	PRP	par
la	DET:ART	le
main	NOM	main
des	PRP:det	du
solitaires	NOM	solitaire
,	PUN	,
étaient	VER:impf	être
semées	VER:pper	semer
à	PRP	à
quelque	PRO:IND	quelque
distance	NOM	distance
les	DET:ART	le
unes	NOM	un
des	PRP:det	du
autres	ADJ	autre
,	PUN	,
de	PRP	de
façon	NOM	façon
que	KON	que
ceux	PRO:DEM	celui
qui	PRO:REL	qui
les	PRO:PER	la|le
habitaient	VER:impf	habiter
pouvaient	VER:impf	pouvoir
vivre	VER:infi	vivre
isolés	VER:pper	isoler
et	KON	et
pourtant	ADV	pourtant
s'	PRO:PER	se
entr'aider	VER:infi	entr'aider
au	PRP:det	au
besoin	NOM	besoin
.	SENT	.
Des	PRP:det	du
églises	NOM	église
,	PUN	,
surmontées	VER:pper	surmonter
du	PRP:det	du
signe	NOM	signe
de	PRP	de
la	DET:ART	le
croix	NOM	croix
,	PUN	,
s'	PRO:PER	se
élevaient	VER:impf	élever
de	PRP	de
loin	ADV	loin
en	PRP	en
loin	ADV	loin
au-dessus	ADV	au-dessus
des	PRP:det	du
cabanes	NOM	cabane
et	KON	et
les	DET:ART	le
moines	NOM	moine
s'	PRO:PER	se
y	PRO:PER	y
rendaient	VER:impf	rendre
dans	PRP	dans
les	DET:ART	le
jours	NOM	jour
de	PRP	de
fête	NOM	fête
,	PUN	,
pour	PRP	pour
assister	VER:infi	assister
à	PRP	à
la	DET:ART	le
célébration	NOM	célébration
des	PRP:det	du
mystères	NOM	mystère
et	KON	et
participer	VER:infi	participer
aux	PRP:det	au
sacrements	NOM	sacrement
