désespérante	ADJ	désespérant
il	PRO:PER	il
avec	PRP	avec
,	PUN	,
bonne	ADJ	bon
Oh	INT	oh
sur	PRP	sur
sommeil	NOM	sommeil
ai	VER:pres	avoir
la	DET:ART	le
matinale	ADJ	matinal
lutté	VER:pper	lutter
sais	VER:pres	savoir
son	DET:POS	son
de	PRP	de
c'	PRO:DEM	ce
cette	PRO:DEM	ce
cuire	VER:infi	cuire
Quatre	NUM	quatre
la	DET:ART	le
dialogue	NOM	dialogue
qui	PRO:REL	qui
ne	ADV	ne
?	SENT	?
et	KON	et
la	PRO:PER	la
me	PRO:PER	me
;	PUN	;
malade	ADJ	malade
je	PRO:PER	je
verras	VER:futu	voir
ma	DET:POS	mon
de	PRP	de
ses	DET:POS	son
dans	PRP	dans
tu	PRO:PER	tu
plein	ADJ	plein
et	KON	et
,	PUN	,
deux	NUM	deux
de	PRP	de
et	KON	et
bien	ADV	bien
.	SENT	.
enfants	NOM	enfant
un	DET:ART	un
poupon	NOM	poupon
,	PUN	,
grandes	ADJ	grand
tête	NOM	tête
ses	DET:POS	son
...	PUN	...
réveiller	VER:infi	réveiller
Et	KON	et
j'	PRO:PER	je
jardin	NOM	jardin
.	SENT	.
est	VER:pres	être
ton	DET:POS	ton
le	DET:ART	le
:	PUN	:
avec	PRP	avec
qui	PRO:REL	qui
tâcher	VER:infi	tâcher
très	ADV	très
guérir	VER:infi	guérir
des	PRP:det	du
bonne	ADJ	bon
grand	ADJ	grand
n'	ADV	ne
chère	VER:pres	chérer
,	PUN	,
Madeleine	NAM	Madeleine
.	SENT	.
de	PRP	de
--	PUN	--
je	PRO:PER	je
mais	KON	mais
.	SENT	.
quand	KON	quand
laisse	VER:pres	laisser
ri	VER:pper	rire
veuve	ADJ	veuf|veuve
non	ADV	non
!	SENT	!
n'	ADV	ne
jeta	VER:simp	jeter
pas	ADV	pas
Mais	KON	mais
mise	VER:pper	mettre
treize	NUM	treize
;	PUN	;
velours	NOM	velours
puis	ADV	puis
et	KON	et
touchent	VER:pres	toucher
la	DET:ART	le
,	PUN	,
Au	PRP:det	au
.	SENT	.
bien	ADV	bien
les	DET:ART	le
qui	PRO:REL	qui
et	KON	et
de	PRP	de
fille	NOM	fille
son	DET:POS	son
la	DET:ART	le
Faut-il	NOM	Faut-il
,	PUN	,
ne	ADV	ne
plus	ADV	plus
de	PRP	de
courage	NOM	courage
de	PRP	de
plaît	VER:pres	plaire
,	PUN	,
Moi	PRO:PER	moi
d'	PRP	de
peu	ADV	peu
était	VER:impf	être
peur	NOM	peur
te	PRO:PER	te
de	PRP	de
se	PRO:PER	se
sucre	NOM	sucre
attirer	VER:infi	attirer
de	PRP	de
bon	ADJ	bon
et	KON	et
appui	NOM	appui
et	KON	et
parlant	VER:ppre	parler
.	SENT	.
ainsi	ADV	ainsi
mort	VER:pper	mourir
,	PUN	,
,	PUN	,
,	PUN	,
aurons	VER:futu	avoir
plaindre	VER:infi	plaindre
par-dessus	ADV	par-dessus
;	PUN	;
mets	VER:pres	mettre
puisque	KON	puisque
cœur	NOM	cœur
femme	NOM	femme
idées	NOM	idée
peu	ADV	peu
faut	VER:pres	falloir
larmes	NOM	larme
ce	PRO:DEM	ce
,	PUN	,
vais	VER:pres	aller
à	PRP	à
,	PUN	,
Laisse	VER:pres	laisser
Brigitte	NAM	Brigitte
violettes	NOM	violet|violette
c'	PRO:DEM	ce
par	PRP	par
eut	VER:simp	avoir
toujours	ADV	toujours
Madeleine	NAM	Madeleine
peu	ADV	peu
,	PUN	,
