PARTIE	NOM	partie
événement	NOM	événement
Les	DET:ART	le
et	KON	et
rumeurs	NOM	rumeur
capitaines	NOM	capitaine
de	PRP	de
gouvernements	NOM	gouvernement
ports	NOM	port
l'	DET:ART	le
Sans	PRP	sans
particulièrement	ADV	particulièrement
PREMIÈRE	NUM	premier
les	DET:ART	le
les	DET:ART	le
doute	NOM	doute
eux	PRO:PER	eux
oublié	VER:pper	oublier
par	PRP	par
parler	VER:infi	parler
et	KON	et
tous	PRO:IND	tout
des	PRP:det	du
année	NOM	année
n'	ADV	ne
,	PUN	,
1866	NUM	@card@
.	SENT	.
négociants	NOM	négociant
navires	NOM	navire
divers	ADJ	divers
public	ADJ	public
émus	VER:pper	émouvoir
masters	NOM	masters
et	KON	et
I	NUM	i
mer	NOM	mer
gens	NOM	gens
à	PRP	à
un	DET:ART	un
des	PRP:det	du
et	KON	et
bizarre	ADJ	bizarre
et	KON	et
deux	NUM	deux
l'	DET:ART	le
pays	NOM	pays
phénomène	NOM	phénomène
FUYANT	VER:ppre	fuir
inexpliqué	ADJ	inexpliqué
,	PUN	,
l'	DET:ART	le
,	PUN	,
,	PUN	,
fut	VER:simp	être
ÉCUEIL	NOM	écueil
inexplicable	ADJ	inexplicable
marines	NOM	marine
militaires	ADJ	militaire
esprit	NOM	esprit
furent	VER:simp	être
des	PRP:det	du
États	NAM	états
que	KON	que
des	PRP:det	du
qui	PRO:REL	qui
agitaient	VER:impf	agiter
un	DET:ART	un
,	PUN	,
,	PUN	,
de	PRP	de
l'	DET:ART	le
marquée	VER:pper	marquer
<EOS>	<EOS>	<EOS>
sans	PRP	sans
a	VER:pres	avoir
<EOS>	<EOS>	<EOS>
skippers	NOM	skipper
intérieur	NOM	intérieur
populations	NOM	population
de	PRP	de
.	SENT	.
après	PRP	après
continents	NOM	continent
,	PUN	,
,	PUN	,
de	PRP	de
personne	NOM	personne
armateurs	NOM	armateur
les	DET:ART	le
Europe	NAM	europe
officiers	NOM	officier
de	PRP	de
UN	ABR	un
des	PRP:det	du
surexcitaient	VER:impf	surexciter
Amérique	NAM	amérique
des	PRP:det	du
,	PUN	,
L'	DET:ART	le
<SEG>
accordaient	VER:impf	accorder
puissance	NOM	puissance
parfois	ADV	parfois
temps	NOM	temps
l'	DET:ART	le
plusieurs	PRO:IND	plusieurs
phosphorescent	ADJ	phosphorescent
et	KON	et
aux	PRP:det	au
inouïe	NOM	inouïe
divers	ADJ	divers
objet	NOM	objet
exactement	ADV	exactement
chose	NOM	chose
faits	NOM	fait
de	PRP	de
rapide	ADJ	rapide
rencontrés	VER:pper	rencontrer
un	DET:ART	un
énorme	ADJ	énorme
s'	PRO:PER	se
,	PUN	,
,	PUN	,
vitesse	NOM	vitesse
quelque	PRO:IND	quelque
relatifs	ADJ	relatif
sur	PRP	sur
ou	KON	ou
cette	PRO:DEM	ce
être	VER:infi	être
.	SENT	.
long	ADJ	long
locomotion	NOM	locomotion
sur	PRP	sur
la	DET:ART	le
«	PUN:cit	«
,	PUN	,
vaste	ADJ	vaste
effet	NOM	effet
avec	PRP	avec
fait	NOM	fait
,	PUN	,
vie	NOM	vie
en	PRP	en
.	SENT	.
au	PRP:det	au
se	PRO:PER	se
Les	DET:ART	le
continents	NOM	continent
la	DET:ART	le
plus	ADV	plus
sa	DET:POS	son
livres	NOM	livre
baleine	NOM	baleine
point	NOM	point
ce	PRO:DEM	ce
la	DET:ART	le
En	PRP	en
préoccupèrent	VER:simp	préoccuper
de	PRP	de
apparition	NOM	apparition
,	PUN	,
l'	PRO:PER	la|le
,	PUN	,
,	PUN	,
navires	NOM	navire
de	PRP	de
assez	ADV	assez
étaient	VER:impf	être
mer	NOM	mer
,	PUN	,
<EOS>	<EOS>	<EOS>
infiniment	ADV	infiniment
structure	NOM	structure
<EOS>	<EOS>	<EOS>
une	DET:ART	un
s'	PRO:PER	se
de	PRP	de
surprenante	ADJ	surprenant
bord	NOM	bord
de	PRP	de
consignés	VER:pper	consigner
plus	ADV	plus
de	PRP	de
depuis	PRP	depuis
haut	ADJ	haut
,	PUN	,
qu'	KON	que
la	DET:ART	le
,	PUN	,
objet	NOM	objet
à	PRP	à
mouvements	NOM	mouvement
»	PUN:cit	»
question	NOM	question
,	PUN	,
fusiforme	ADJ	fusiforme
une	DET:ART	un
plus	ADV	plus
ses	DET:POS	son
<SEG>
tel	NOM	tel
,	PUN	,
de	PRP	de
appelle	VER:pres	appeler
ni	KON	ni
.	SENT	.
--	PUN	--
une	DET:ART	un
reprises	NOM	reprise
,	PUN	,
<EOS>	<EOS>	<EOS>
qui	PRO:REL	qui
savants	NOM	savant
objet	NOM	objet
.	SENT	.
<EOS>	<EOS>	<EOS>
à	PRP	à
avoir	VER:infi	avoir
,	PUN	,
assignaient	VER:impf	assigner
moyenne	NOM	moyenne
,	PUN	,
longueur	NOM	longueur
de	PRP	de
volume	NOM	volume
alors	ADV	alors
un	DET:ART	un
