Partie	NOM	partie
septembre	NOM	septembre
1	NUM	@card@
15	NUM	@card@
1	NUM	@card@
Le	DET:ART	le
vers	PRP	vers
1840	NUM	@card@
,	PUN	,
Chapitre	ABR	chapitre
<SEG>
la	DET:ART	le
du	PRP:det	du
six	NUM	six
,	PUN	,
Ville-de-Montereau	NAM	ville-de-montereau
matin	NOM	matin
de	PRP	de
,	PUN	,
près	ADV	près
heures	NOM	heure
<SEG>
devant	PRP	devant
,	PUN	,
gros	ADJ	gros
Saint-Bernard	NAM	saint-bernard
partir	VER:infi	partir
à	PRP	à
tourbillons	NOM	tourbillon
quai	NOM	quai
le	DET:ART	le
fumait	VER:impf	fumer
<SEG>
hors	PRP	hors
<EOS>	<EOS>	<EOS>
haleine	NOM	haleine
gens	NOM	gens
d'	PRP	de
des	PRP:det	du
;	PUN	;
arrivaient	VER:impf	arriver
Des	PRP:det	du
.	SENT	.
<SEG>
,	PUN	,
linge	NOM	linge
des	PRP:det	du
gênaient	VER:impf	gêner
,	PUN	,
des	PRP:det	du
câbles	NOM	câble
corbeilles	NOM	corbeille
barriques	NOM	barrique
de	PRP	de
<SEG>
;	PUN	;
circulation	NOM	circulation
ne	ADV	ne
la	DET:ART	le
à	PRP	à
répondaient	VER:impf	répondre
;	PUN	;
les	DET:ART	le
personne	NOM	personne
matelots	NOM	matelot
<SEG>
heurtait	VER:impf	heurter
;	PUN	;
se	PRO:PER	se
les	DET:ART	le
deux	NUM	deux
montaient	VER:impf	monter
les	DET:ART	le
colis	NOM	colis
entre	PRP	entre
on	PRO:PER	on
<SEG>
et	KON	et
tambours	NOM	tambour
,	PUN	,
bruissement	NOM	bruissement
s'	PRO:PER	se
absorbait	VER:impf	absorber
le	DET:ART	le
tapage	NOM	tapage
dans	PRP	dans
le	DET:ART	le
<SEG>
échappant	VER:ppre	échapper
vapeur	NOM	vapeur
,	PUN	,
la	DET:ART	le
,	PUN	,
par	PRP	par
qui	PRO:REL	qui
des	PRP:det	du
de	PRP	de
s'	PRO:PER	se
<SEG>
blanchâtre	ADJ	blanchâtre
tôle	NOM	tôle
de	PRP	de
une	DET:ART	un
enveloppait	VER:impf	envelopper
tout	ADV	tout
plaques	NOM	plaque
d'	PRP	de
,	PUN	,
nuée	NOM	nuée
<SEG>
,	PUN	,
,	PUN	,
la	DET:ART	le
l'	DET:ART	le
tandis	KON	tandis
cloche	NOM	cloche
avant	NOM	avant
que	KON	que
,	PUN	,
à	PRP	à
<SEG>
le	DET:ART	le
sans	PRP	sans
partit	VER:simp	partir
tintait	VER:impf	tinter
discontinuer	VER:infi	discontinuer
Enfin	ADV	enfin
;	PUN	;
<EOS>	<EOS>	<EOS>
navire	NOM	navire
.	SENT	.
<SEG>
deux	NUM	deux
peuplées	VER:pper	peupler
de	PRP	de
,	PUN	,
,	PUN	,
de	PRP	de
et	KON	et
berges	NOM	berge
les	DET:ART	le
magasins	NOM	magasin
<SEG>
,	PUN	,
et	KON	et
larges	ADJ	large
chantiers	NOM	chantier
filèrent	VER:simp	filer
deux	NUM	deux
comme	ADV	comme
rubans	NOM	ruban
d'	PRP	de
usines	NOM	usine
<SEG>
que	PRO:REL	que
déroule	VER:pres	dérouler
on	PRO:PER	on
jeune	ADJ	jeune
de	PRP	de
homme	NOM	homme
<EOS>	<EOS>	<EOS>
.	SENT	.
Un	DET:ART	un
l'	DET:ART	le
<SEG>
cheveux	NOM	cheveu
à	PRP	à
qui	PRO:REL	qui
longs	ADJ	long
tenait	VER:impf	tenir
un	DET:ART	un
et	KON	et
ans	NOM	an
,	PUN	,
dix-huit	NUM	dix-huit
<SEG>
gouvernail	NOM	gouvernail
,	PUN	,
son	DET:POS	son
auprès	ADV	auprès
du	PRP:det	du
album	NOM	album
,	PUN	,
sous	PRP	sous
restait	VER:impf	rester
bras	NOM	bras
<SEG>
le	DET:ART	le
.	SENT	.
A	PRP	à
,	PUN	,
immobile	ADJ	immobile
travers	NOM	travers
contemplait	VER:impf	contempler
brouillard	NOM	brouillard
<EOS>	<EOS>	<EOS>
il	PRO:PER	il
<SEG>
il	PRO:PER	il
pas	ADV	pas
,	PUN	,
ne	ADV	ne
