scrupules	NOM	scrupule
des	PRP:det	du
affaire	NOM	affaire
L'	DET:ART	le
démission	NOM	démission
XXXIX	NUM	xxxix
ma	DET:POS	mon
compliquée	VER:pper	compliquer
de	PRP	de
,	PUN	,
<SEG>
,	PUN	,
à	PRP	à
colonel	NOM	colonel
de	PRP	de
prudents	ADJ	prudent
m'	PRO:PER	me
mon	DET:POS	mon
entretenir	VER:infi	entretenir
avait	VER:impf	avoir
amené	VER:pper	amener
<SEG>
les	DET:ART	le
active	ADJ	actif
le	DET:ART	le
une	DET:ART	un
Martory	NAM	martory
général	ADJ	général
correspondance	NOM	correspondance
avec	PRP	avec
;	PUN	;
tous	PRO:IND	tout
<SEG>
pendant	PRP	pendant
je	PRO:PER	je
officielle	ADJ	officiel
avais	VER:impf	avoir
lui	PRO:PER	lui
matins	NOM	matin
ma	DET:POS	mon
maladie	NOM	maladie
,	PUN	,
,	PUN	,
<SEG>
dans	PRP	dans
une	DET:ART	un
écrit	VER:pper	écrire
le	DET:ART	le
d'	PRP	de
,	PUN	,
fois	NOM	fois
,	PUN	,
et	KON	et
plus	ADV	plus
<SEG>
avais	VER:impf	avoir
,	PUN	,
une	DET:ART	un
envoyé	VER:pper	envoyer
journée	NOM	journée
de	PRP	de
cours	NOM	cour|cours
je	PRO:PER	je
lui	PRO:PER	lui
la	DET:ART	le
<SEG>
<EOS>	<EOS>	<EOS>
en	PRP	en
seconde	NUM	second
lettre	NOM	lettre
Mais	KON	mais
sa	DET:POS	son
.	SENT	.
vieux	NOM	vieux
de	PRP	de
qualité	NOM	qualité
<SEG>
qui	PRO:REL	qui
blanc	ADJ	blanc
méprise	VER:pres	mépriser
considère	VER:pres	considérer
et	KON	et
le	DET:ART	le
travail	NOM	travail
le	DET:ART	le
papier	NOM	papier
militaire	ADJ	militaire
<SEG>
,	PUN	,
de	PRP	de
comme	KON	comme
ménage	NOM	ménage
--	PUN	--
la	DET:ART	le
une	DET:ART	un
correspondance	NOM	correspondance
annexe	NOM	annexe
du	PRP:det	du
<SEG>
le	DET:ART	le
lavage	NOM	lavage
la	DET:ART	le
le	DET:ART	le
ou	KON	ou
--	PUN	--
vaisselle	NOM	vaisselle
,	PUN	,
de	PRP	de
balayage	NOM	balayage
<SEG>
chargé	VER:pper	charger
.	SENT	.
avait	VER:impf	avoir
répondre	VER:infi	répondre
Par	PRP	par
Clotilde	NAM	clotilde
il	PRO:PER	il
de	PRP	de
me	PRO:PER	me
<EOS>	<EOS>	<EOS>
<SEG>
l'	DET:ART	le
occasion	NOM	occasion
,	PUN	,
échanger	VER:infi	échanger
ce	PRO:DEM	ce
avions	VER:impf	avoir
d'	PRP	de
nous	PRO:PER	nous
trouvé	VER:pper	trouver
moyen	NOM	moyen
<SEG>
bien	ADV	bien
n'	ADV	ne
pensées	NOM	pensée
aucun	PRO:IND	aucun
avec	PRP	avec
avaient	VER:impf	avoir
qui	PRO:REL	qui
ma	DET:POS	mon
des	PRP:det	du
rapport	NOM	rapport
<SEG>
démission	NOM	démission
,	PUN	,
touchaient	VER:impf	toucher
,	PUN	,
personnellement	ADV	personnellement
nous	PRO:PER	nous
qui	PRO:REL	qui
mais	KON	mais
nous	PRO:PER	nous
et	KON	et
<SEG>
avais	VER:impf	avoir
gauche	ADJ	gauche
<EOS>	<EOS>	<EOS>
amour	NOM	amour
.	SENT	.
notre	DET:POS	notre
assez	ADV	assez
J'	PRO:PER	je
été	VER:pper	être
dans	PRP	dans
<SEG>
,	PUN	,
près	ADV	près
;	PUN	;
à	PRP	à
conversation	NOM	conversation
par	PRP	par
cette	PRO:DEM	ce
peu	ADV	peu
Clotilde	NAM	clotilde
au	PRP:det	au
<SEG>
elle	PRO:PER	elle
;	PUN	;
contraire	NOM	contraire
avait	VER:impf	avoir
,	PUN	,
qualités	NOM	qualité
y	PRO:PER	y
d'	PRP	de
admirables	ADJ	admirable
révélé	VER:pper	révéler
<SEG>
effleurer	VER:infi	effleurer
choses	NOM	chose
merveilleux	ADJ	merveilleux
un	DET:ART	un
en	PRP	en
et	KON	et
tour	NOM	tour
les	DET:ART	le
avait	VER:impf	avoir
pour	PRP	pour
<SEG>
exprimer	VER:infi	exprimer
;	PUN	;
directement	ADV	directement
la	DET:ART	le
sans	PRP	sans
les	PRO:PER	la|le
donner	VER:infi	donner
ses	DET:POS	son
lettres	NOM	lettre
sensation	NOM	sensation
<SEG>
étaient	VER:impf	être
qui	PRO:REL	qui
des	PRP:det	du
