PREMIÈRE	NUM	premier
PARTIE	NOM	partie
--	PUN	--
LE	NAM	le
CONDAMNÉ	NAM	condamné
À	PRP	à
MORT	NAM	mort
I	NUM	i
--	PUN	--
LES	NAM	les
SAUDEURS	NAM	saudeurs
Ce	NAM	ce
sont	VER:pres	être
des	PRP:det	du
paysages	NOM	paysage
magnifiques	ADJ	magnifique
et	KON	et
variés	ADJ	varié
à	PRP	à
l'	DET:ART	le
infini	NOM	infini
:	PUN	:
de	PRP	de
grandes	ADJ	grand
forêts	NOM	forêt
,	PUN	,
des	PRP:det	du
rivières	NOM	rivière
,	PUN	,
des	PRP:det	du
montagnes	NOM	montagne
.	SENT	.
<EOS>	<EOS>	<EOS>
Cela	PRO:DEM	cela
s'	PRO:PER	se
appelle	VER:pres	appeler
les	DET:ART	le
Ardennes	NAM	ardennes
;	PUN	;
c'	PRO:DEM	ce
est	VER:pres	être
plein	ADJ	plein
de	PRP	de
souvenirs	NOM	souvenir
.	SENT	.
<EOS>	<EOS>	<EOS>
Et	KON	et
nul	ADJ	nul
ne	ADV	ne
saurait	VER:cond	savoir
dire	VER:infi	dire
pourquoi	ADV	pourquoi
la	DET:ART	le
poésie	NOM	poésie
s'	PRO:PER	se
est	VER:pres	être
retirée	VER:pper	retirer
de	PRP	de
ces	PRO:DEM	ce
admirables	ADJ	admirable
campagnes	NOM	campagne
.	SENT	.
<EOS>	<EOS>	<EOS>
Est	VER:pres	être
-ce	PRO:DEM	ce
l'	DET:ART	le
odeur	NOM	odeur
des	PRP:det	du
moulins	NOM	moulin
à	PRP	à
foulons	NOM	foulon
,	PUN	,
ou	KON	ou
la	DET:ART	le
fumée	NOM	fumée
noire	ADJ	noir
des	PRP:det	du
cheminées	NOM	cheminée
de	PRP	de
la	DET:ART	le
fabrique	NOM	fabrique
?	SENT	?
<EOS>	<EOS>	<EOS>
Cette	PRO:DEM	ce
charmante	ADJ	charmant
rivière	NOM	rivière
,	PUN	,
la	DET:ART	le
Meuse	NAM	meuse
,	PUN	,
coule	VER:pres	couler
tout	ADV	tout
doucement	ADV	doucement
et	KON	et
sans	PRP	sans
jamais	ADV	jamais
faire	VER:infi	faire
de	PRP	de
folies	NOM	folie
parmi	PRP	parmi
les	DET:ART	le
belles	ADJ	beau
prairies	NOM	prairie
un	DET:ART	un
peu	ADV	peu
fades	ADJ	fade
.	SENT	.
<EOS>	<EOS>	<EOS>
On	PRO:PER	on
voit	VER:pres	voir
bien	ADV	bien
déjà	ADV	déjà
qu'	KON	que
elle	PRO:PER	elle
est	VER:pres	être
prédestinée	VER:pper	prédestiner
à	PRP	à
baigner	VER:infi	baigner
les	DET:ART	le
fanges	NOM	fange
grasses	ADJ	gras
de	PRP	de
la	DET:ART	le
pacifique	ADJ	pacifique
Hollande	NAM	hollande
.	SENT	.
<EOS>	<EOS>	<EOS>
Ce	PRO:DEM	ce
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
la	DET:ART	le
Loire	NAM	loire
,	PUN	,
celle	PRO:DEM	celui
-là	ADV	là
,	PUN	,
riante	ADJ	riant
aussi	ADV	aussi
,	PUN	,
mais	KON	mais
si	ADV	si
fière	ADJ	fier
!	SENT	!
<EOS>	<EOS>	<EOS>
Ce	PRO:DEM	ce
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
le	DET:ART	le
Rhône	NAM	rhône
,	PUN	,
ce	PRO:DEM	ce
dieu	NOM	dieu
fougueux	ADJ	fougueux
!	SENT	!
<EOS>	<EOS>	<EOS>
Ce	PRO:DEM	ce
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
la	DET:ART	le
Seine	NAM	seine
,	PUN	,
l'	DET:ART	le
élégante	ADJ	élégant
,	PUN	,
la	DET:ART	le
française	ADJ	français
