hauteurs	NOM	hauteur
comme	KON	comme
c'	PRO:DEM	ce
petites	ADJ	petit
<EOS>	<EOS>	<EOS>
<EOS>	<EOS>	<EOS>
anges	NOM	ange
qu'	KON	que
temple	NOM	temple
.	SENT	.
la	DET:ART	le
--	PUN	--
que	KON	que
Vitylien	NAM	vitylien
charitables	ADJ	charitable
habitants	NOM	habitant
mer	NOM	mer
serrait	VER:impf	serrer
Babel	NAM	babel
parfois	ADV	parfois
mélange	NOM	mélange
trois	NUM	trois
de	PRP	de
Vitylo	NAM	vitylo
se	PRO:PER	se
la	DET:ART	le
<EOS>	<EOS>	<EOS>
feuille	NOM	feuille
des	PRP:det	du
côte	NOM	côte
séparent	VER:pres	séparer
le	DET:ART	le
refuges	NOM	refuge
desservies	VER:pper	desservir
,	PUN	,
le	DET:ART	le
,	PUN	,
des	PRP:det	du
en	PRO:PER	en
gros	ADJ	gros
des	PRP:det	du
,	PUN	,
,	PUN	,
va	VER:pres	aller
ce	PRO:DEM	ce
les	DET:ART	le
compte	NOM	compte
fait	VER:pper	faire
se	PRO:PER	se
fort	ADJ	fort
ne	ADV	ne
qualification	NOM	qualification
et	KON	et
,	PUN	,
de	PRP	de
anse	NOM	anse
cette	PRO:DEM	ce
le	DET:ART	le
se	PRO:PER	se
port	NOM	port
ferait	VER:cond	faire
vers	PRP	vers
lisière	NOM	lisière
apocryphe	ADJ	apocryphe
Coron	NAM	coron
l'	DET:ART	le
ce	PRO:DEM	ce
le	DET:ART	le
maritimes	ADJ	maritime
gens	NOM	gens
,	PUN	,
développe	VER:pres	développer
entendre	VER:infi	entendre
point	ADV	point
un	DET:ART	un
.	SENT	.
que	PRO:REL	que
de	PRP	de
,	PUN	,
en	PRP	en
il	PRO:PER	il
n'	ADV	ne
le	DET:ART	le
être	VER:infi	être
à	PRP	à
appliquée	VER:pper	appliquer
occupation	NOM	occupation
,	PUN	,
fond	NOM	fond
la	DET:ART	le
grands	ADJ	grand
<EOS>	<EOS>	<EOS>
paganisme	NOM	paganisme
,	PUN	,
qu'	KON	que
la	DET:ART	le
l'	DET:ART	le
et	KON	et
s'	PRO:PER	se
qui	PRO:REL	qui
acropole	NOM	acropole
agitant	VER:ppre	agiter
gras	ADJ	gras
d'	PRP	de
parties	NOM	partie
ses	DET:POS	son
surtout	ADV	surtout
c'	PRO:DEM	ce
et	KON	et
Vitylo	NAM	vitylo
temps	NOM	temps
en	PRP	en
Oetylos	NAM	oetylos
s'	PRO:PER	se
nécessité	NOM	nécessité
classes	NOM	classe
.	SENT	.
aptes	ADJ	apte
,	PUN	,
ce	PRO:DEM	ce
cette	PRO:DEM	ce
,	PUN	,
une	DET:ART	un
élevait	VER:impf	élever
le	DET:ART	le
qui	PRO:REL	qui
octobre	NOM	octobre
forme	VER:pres	former
golfe	NOM	golfe
ces	PRO:DEM	ce
!	SENT	!
.	SENT	.
ornent	VER:pres	orner
de	PRP	de
soir	NOM	soir
on	PRO:PER	on
des	PRP:det	du
,	PUN	,
distance	NOM	distance
,	PUN	,
golfe	NOM	golfe
moderne	ADJ	moderne
nasillard	ADJ	nasillard
des	PRP:det	du
a	VER:pres	avoir
a	VER:pres	avoir
sur	PRP	sur
enfants	NOM	enfant
des	PRP:det	du
cette	PRO:DEM	ce
là	ADV	là
littoral	NOM	littoral
par	PRP	par
physionomie	NOM	physionomie
le	DET:ART	le
de	PRP	de
turc	NOM	turc
,	PUN	,
rusée	ADJ	rusé
,	PUN	,
d'	PRP	de
côte	NOM	côte
large	NOM	large
de	PRP	de
moines	NOM	moine
ne	ADV	ne
<EOS>	<EOS>	<EOS>
il	PRO:PER	il
sa	DET:POS	son
sur	PRP	sur
d'	PRP	de
Le	DET:ART	le
voiles	NOM	voile
<EOS>	<EOS>	<EOS>
dont	PRO:REL	dont
la	DET:ART	le
ou	KON	ou
.	SENT	.
du	PRP:det	du
le	DET:ART	le
travail	NOM	travail
de	PRP	de
bâtiment	NOM	bâtiment
de	PRP	de
diriger	VER:infi	diriger
les	DET:ART	le
,	PUN	,
pour	PRP	pour
y	PRO:PER	y
le	DET:ART	le
régions	NOM	région
un	DET:ART	un
de	PRP	de
peu	ADV	peu
.	SENT	.
vallons	NOM	vallon
écria	VER:simp	écrier
<EOS>	<EOS>	<EOS>
Laconie	NAM	laconie
sévère	ADJ	sévère
ouvert	VER:pper	ouvrir
par	PRP	par
furies	NOM	furie
la	DET:ART	le
des	PRP:det	du
,	PUN	,
est	VER:pres	être
eût	VER:subi	avoir
construit	VER:pper	construire
du	PRP:det	du
,	PUN	,
quémandeurs	NOM	quémandeur
ce	PRO:DEM	ce
<EOS>	<EOS>	<EOS>
,	PUN	,
mélangent	VER:pres	mélanger
dressent	VER:pres	dresser
méditerranéennes	ADJ	méditerranéen
à	PRP	à
premiers	NUM	premier
farfadets	NOM	farfadet
,	PUN	,
le	DET:ART	le
d'	DET:ART	de
caloyers	NOM	caloyer
chapelle	NOM	chapelle
extrême	ADJ	extrême
Une	DET:ART	un
pour	PRP	pour
Bien	ADV	bien
!	SENT	!
indentations	NOM	indentation
Panagia	NAM	panagia
origine	NOM	origine
il	PRO:PER	il
plus	ADV	plus
