sacrées	ADJ	sacré
maisons	NOM	maison
consolation	NOM	consolation
!	SENT	!
,	PUN	,
là	ADV	là
féminines	ADJ	féminin
,	PUN	,
bains	NOM	bain
éducation	NOM	éducation
Puu	NOM	puu
parties	NOM	partie
un	DET:ART	un
breton	ADJ	breton
chapeaux	NOM	chapeau
,	PUN	,
parbleu	INT	parbleu
étaient	VER:impf	être
lyrique	ADJ	lyrique
curiosité	NOM	curiosité
mangeaient	VER:impf	manger
-vous	PRO:PER	vous
prie	VER:pres	prier
diocésain	ADJ	diocésain
souvenirs	NOM	souvenir
Bigre	NAM	bigre
et	KON	et
de	PRP	de
et	KON	et
Il	PRO:PER	il
de	PRP	de
les	DET:ART	le
de	PRP	de
d'	PRP	de
était	VER:impf	être
,	PUN	,
congréganistes	NOM	congréganiste
ne	ADV	ne
le	DET:ART	le
sa	DET:POS	son
chefs-d'œuvre	NOM	chefs-d'œuvre
moderne	ADJ	moderne
caprices	NOM	caprice
vues	NOM	vue
convenait	VER:impf	convenir
nés	VER:pper	naître
Italie	NAM	italie
Là	ADV	là
d'	PRP	de
description	NOM	description
à	PRP	à
de	PRP	de
voyez	VER:pres	voir
indiciblement	ADV	indiciblement
progrès	NOM	progrès
,	PUN	,
Morbihan	NAM	morbihan
rétabli	VER:pper	rétablir
les	DET:ART	le
geste	NOM	geste
la	DET:ART	le
la	DET:ART	le
à	PRP	à
qui	PRO:REL	qui
De	PRP	de
,	PUN	,
programme	NOM	programme
,	PUN	,
--	PUN	--
des	PRP:det	du
de	PRP	de
forme	NOM	forme
une	DET:ART	un
que	KON	que
des	PRP:det	du
Jésuites	NAM	jésuites
école	NOM	école
,	PUN	,
d'	PRP	de
Elle	PRO:PER	elle
...	PUN	...
exclamation	NOM	exclamation
.	SENT	.
a	VER:pres	avoir
,	PUN	,
Vous	PRO:PER	vous
,	PUN	,
impatience	NOM	impatience
bras	NOM	bras
n'	ADV	ne
de	PRP	de
installés	VER:pper	installer
pas	ADV	pas
,	PUN	,
les	DET:ART	le
qu'	KON	que
,	PUN	,
de	PRP	de
superstitions	NOM	superstition
<EOS>	<EOS>	<EOS>
la	DET:ART	le
pierres	NOM	pierre
.	SENT	.
sont	VER:pres	être
racines	NOM	racine
semaine	NOM	semaine
dans	PRP	dans
le	DET:ART	le
la	DET:ART	le
PREMIER	NAM	premier
fut	VER:simp	être
d'	PRP	de
ces	PRO:DEM	ce
en	PRP	en
ça	PRO:DEM	cela
soit	KON	soit
de	PRP	de
l'	DET:ART	le
...	PUN	...
tarissaient	VER:impf	tarir
la	DET:ART	le
choses	NOM	chose
âpre	ADJ	âpre
Les	DET:ART	le
supériorité	NOM	supériorité
encore	ADV	encore
des	PRP:det	du
le	DET:ART	le
d'	PRP	de
amplitude	NOM	amplitude
laïques	ADJ	laïque
hygiéniques	ADJ	hygiénique
et	KON	et
de	PRP	de
des	PRP:det	du
Joseph-Hippolyte-Elphège	NAM	joseph-hippolyte-elphège
petite	ADJ	petit
prospectus	NOM	prospectus
vogue	NOM	vogue
l'	DET:ART	le
martyres	NOM	martyr|martyre
!	SENT	!
Devant	PRP	devant
et	KON	et
!	SENT	!
bien	ADV	bien
grâce	NOM	grâce
landes	NOM	lande
répéta	VER:simp	répéter
et	KON	et
Jésuites	NAM	jésuites
,	PUN	,
des	PRP:det	du
Eh	NOM	eh
violent	ADJ	violent
royautés	NOM	royauté
la	DET:ART	le
onze	NUM	onze
mieux	ADV	mieux
et	KON	et
,	PUN	,
les	DET:ART	le
qui	PRO:REL	qui
changement	NOM	changement
d'	PRP	de
I	NUM	i
sort	VER:pres	sortir
...	PUN	...
,	PUN	,
religieux	ADJ	religieux
petite	ADJ	petit
programme	NOM	programme
.	SENT	.
avoir	VER:infi	avoir
son	DET:POS	son
traça	VER:simp	tracer
le	DET:ART	le
.	SENT	.
pittoresque	ADJ	pittoresque
-vous	PRO:PER	vous
ai	VER:pres	avoir
Saint-Francois-Xavier	NAM	saint-francois-xavier
de	PRP	de
<EOS>	<EOS>	<EOS>
...	PUN	...
avec	PRP	avec
inarrachables	ADJ	inarrachable
<EOS>	<EOS>	<EOS>
l'	DET:ART	le
cher	ADV	cher
leur	PRO:PER	lui
,	PUN	,
rocs	NOM	roc
venait	VER:impf	venir
faut	VER:pres	falloir
<EOS>	<EOS>	<EOS>
la	DET:ART	le
de	PRP	de
récentes	ADJ	récent
familles	NOM	famille
l'	DET:ART	le
par	PRP	par
y	PRO:PER	y
excitait	VER:impf	exciter
perpétuer	VER:infi	perpétuer
obstinément	ADV	obstinément
pour	PRP	pour
<EOS>	<EOS>	<EOS>
réputé	VER:pper	réputer
les	DET:ART	le
cher	ADV	cher
est	VER:pres	être
aussi	ADV	aussi
même	ADJ	même
cœur	NOM	cœur
,	PUN	,
des	PRP:det	du
de	PRP	de
,	PUN	,
et	KON	et
un	DET:ART	un
qu'	PRO:REL	que
par	PRP	par
Roch	NAM	roch
,	PUN	,
,	PUN	,
par	PRP	par
du	PRP:det	du
<EOS>	<EOS>	<EOS>
glorieuses	ADJ	glorieux
,	PUN	,
la	DET:ART	le
<EOS>	<EOS>	<EOS>
passion	NOM	passion
est	VER:pres	être
locale	ADJ	local
pour	PRP	pour
ville	NOM	ville
...	PUN	...
trouvait	VER:impf	trouver
la	DET:ART	le
,	PUN	,
Jésuites	NOM	jésuite
résistance	NOM	résistance
luttes	NOM	lutte
.	SENT	.
!	SENT	!
haut	ADJ	haut
.	SENT	.
très	ADV	très
et	KON	et
de	PRP	de
Monsieur	NOM	monsieur
un	DET:ART	un
est	VER:pres	être
prières	NOM	prière
un	DET:ART	un
,	PUN	,
de	PRP	de
concevoir	VER:infi	concevoir
quoi	PRO	quoi
,	PUN	,
!	SENT	!
se	PRO:PER	se
monde	NOM	monde
mondaine	ADJ	mondain
du	PRP:det	du
envoyer	VER:infi	envoyer
!	SENT	!
nobles	ADJ	noble
tous	PRO:IND	tout
un	DET:ART	un
des	PRP:det	du
...	PUN	...
en	PRO:PER	en
parbleu	INT	parbleu
spirituelle	ADJ	spirituel
y	PRO:PER	y
cette	PRO:DEM	ce
s'	PRO:PER	se
cher	ADJ	cher
touristes	NOM	touriste
ils	PRO:PER	il
comme	KON	comme
de	PRP	de
des	PRP:det	du
<EOS>	<EOS>	<EOS>
la	DET:ART	le
ces	PRO:DEM	ce
...	PUN	...
collèges	NOM	collège
,	PUN	,
de	PRP	de
exceptionnels	ADJ	exceptionnel
une	DET:ART	un
;	PUN	;
en	PRO:PER	en
par	PRP	par
Roch	NAM	roch
Vannes	NAM	vannes
M	VER:pper	m
encore	ADV	encore
,	PUN	,
les	DET:ART	le
est	VER:pres	être
changent	VER:pres	changer
très	ADV	très
alentour	ADV	alentour
la	DET:ART	le
au	PRP:det	au
sonores	ADJ	sonore
,	PUN	,
évêques	NOM	évêque
c'	PRO:DEM	ce
monuments	NOM	monument
moi	PRO:PER	moi
sifflement	NOM	sifflement
le	DET:ART	le
trop	ADV	trop
Espagne	NAM	espagne
une	DET:ART	un
pays	NOM	pays
manier	VER:infi	manier
l'	DET:ART	le
dites	VER:pres	dire
leurs	DET:POS	leur
doctrines	NOM	doctrine
triste	ADJ	triste
âmes	NOM	âme
et	KON	et
Orne	NAM	orne
personnel	NOM	personnel
d'	PRP	de
,	PUN	,
,	PUN	,
prenaient	VER:impf	prendre
de	PRP	de
