Theodor	NE	Theodor
Fontane	NE	Fontane
Mathilde	NE	Mathilde
Möhring	NN	Möhring
1.	ADJA	@ord@
Kapitel	NN	Kapitel
Erstes	NN	Erste
Kapitel	NN	Kapitel
Möhrings	NN	Möhrings
wohnten	VVFIN	wohnen
Georgenstraße	NN	Georgenstraße
19	CARD	@card@
dicht	ADJD	dicht
an	APPR	an
der	ART	die
Friedrichsstraße	NN	Friedrichsstraße
.	$.	.
Wirt	NN	Wirt
war	VAFIN	sein
Rechnungsrat	NN	Rechnungsrat
Schultze	NE	Schultze
,	$,	,
der	PRELS	die
in	APPR	in
der	ART	die
Gründerzeit	NN	Gründerzeit
mit	APPR	mit
dreihundert	CARD	dreihundert
Talern	NN	Taler
spekuliert	VVPP	spekulieren
und	KON	und
in	APPR	in
zwei	CARD	zwei
Jahren	NN	Jahr
ein	ART	eine
Vermögen	NN	Vermögen
erworben	VVPP	erwerben
hatte	VAFIN	haben
.	$.	.
Wenn	KOUS	wenn
er	PPER	er
jetzt	ADV	jetzt
an	APPR	an
seinem	PPOSAT	sein
Ministerium	NN	Ministerium
vorüberging	VVFIN	vorübergehen
,	$,	,
sah	VVFIN	sehen
er	PPER	er
immer	ADV	immer
lächelnd	ADJD	lächelnd
hinauf	PTKVZ	hinauf
und	KON	und
sagte	VVFIN	sagen
:	$.	:
»	QUO	»
Gu'n	NN	Gu'n
Morgen	NN	Morgen
,	$,	,
Exzellenz	NN	Exzellenz
.	$.	.
«	QUO	«
Gott	NN	Gott
,	$,	,
Exzellenz	NN	Exzellenz
.	$.	.
Wenn	KOUS	wenn
Exzellenz	NN	Exzellenz
fiel	VVFIN	fallen
,	$,	,
und	KON	und
alle	PIAT	alle
Welt	NN	Welt
wunderte	VVFIN	wundern
sich	PRF	sich
,	$,	,
daß	KOUS	dass
er	PPER	er
noch	ADV	noch
nicht	PTKNEG	nicht
gefallen	VVPP	fallen|gefallen
sei	VAFIN	sein
,	$,	,
so	ADV	so
stand	VVFIN	stehen
er	PPER	er
,	$,	,
wie	KOUS	wie
Schultze	NE	Schultze
gern	ADV	gern
sagte	VVFIN	sagen
,	$,	,
vis-à-vis	NE	vis-à-vis
de	NE	de
rien	VVFIN	rien
,	$,	,
höchstens	ADV	höchstens
Oberpräsident	NN	Oberpräsident
in	APPR	in
Danzig	NE	Danzig
.	$.	.
Da	ADV	da
war	VAFIN	sein
er	PPER	er
besser	ADJD	gut
dran	PTKVZ	dran
,	$,	,
er	PPER	er
hatte	VAFIN	haben
fünf	CARD	fünf
Häuser	NN	Haus
,	$,	,
und	KON	und
das	PDS	die
in	APPR	in
der	ART	die
Georgenstraße	NN	Georgenstraße
war	VAFIN	sein
beinah	ADV	beinah
schon	ADV	schon
ein	ART	eine
Palais	NN	Palais
,	$,	,
vorn	ADV	vorn
kleine	ADJA	klein
Balkone	NN	Balkon
von	APPR	von
Eisen	NN	Eisen
mit	APPR	mit
Vergoldung	NN	Vergoldung
.	$.	.
Was	PWS	was
anscheinend	ADJD	anscheinend
fehlte	VVFIN	fehlen
,	$,	,
waren	VAFIN	sein
Keller	NN	Keller
und	KON	und
natürlich	ADV	natürlich
auch	ADV	auch
Kellerwohnungen	NN	Kellerwohnung
,	$,	,
statt	APPR	statt
dessen	PRELAT	die
lagen	VVFIN	liegen
kleine	ADJA	klein
Läden	NN	Laden
,	$,	,
ein	ART	eine
Vorkostladen	NN	Vorkostladen
,	$,	,
ein	ART	eine
Barbier-	TRUNC	Barbier-
,	$,	,
ein	ART	eine
Optikus-	TRUNC	Optikus-
und	KON	und
ein	ART	eine
Schirmladen	NN	Schirmladen
in	APPR	in
gleicher	ADJA	gleich
Höhe	NN	Höhe
mit	APPR	mit
dem	ART	die
Straßenzug	NN	Straßenzug
,	$,	,
wodurch	PWAV	wodurch
die	ART	die
darüber	PAV	darüber
gelegene	ADJA	gelegen
Wirtswohnung	NN	Wirtswohnung
jenen	PDAT	jen
à-deux-mains-Charakter	NN	à-deux-mains-Charakter
so	ADV	so
vieler	PIAT	viele
neuer	ADJA	neu
Berliner	ADJA	Berliner
Häuser	NN	Haus
erhielt	VVFIN	erhalten
.	$.	.
War	VAFIN	sein
es	PPER	es
Hochparterre	NN	Hochparterre
oder	KON	oder
war	VAFIN	sein
es	PPER	es
eine	ART	eine
Treppe	NN	Treppe
hoch	PTKVZ	hoch
.	$.	.
Auf	APPR	auf
